Column1,Degree Centrality,Closeness Centrality,Betweeness Centrality,Pagerank Centrality
hematopoietic and lymphoid system neoplasm,5.262735579,0.499724821,0,0.000599354
Rare genetic tumor,5.199543062,0.499724821,0,0.000592639
hematopoietic and lymphoid cell neoplasm,5.15229182,0.499656074,0,0.000601822
congenital abnormality,5.151833228,0.499793587,0,0.000614318
lymphoid neoplasm,5.151451173,0.499656074,0,0.0005979
Genetic tumor of hematopoietic and lymphoid tissues,5.09535721,0.499587345,0,0.000793463
developmental defect during embryogenesis,5.088562954,0.499724821,0,0.000598998
digestive system neoplasm,5.074911113,0.499862373,0,0.000561657
rare hematologic disease,5.059173167,0.499587345,0,0.00058714
urogenital neoplasm,5.047859621,0.499724821,0,0.000552577
pancreas disease,5.034521229,0.499518636,0,0.000571825
reproductive system neoplasm,5.016660869,0.499656074,0,0.000537824
female reproductive system disease,4.94236821,0.499518636,0,0.000539066
ENSG00000132821,4.930807589,0.335845393,0,0.000689317
reproductive system cancer,4.859483167,0.499518636,0,0.000510231
biological process,4.833294785,0.500068842,0.000274875,0.000586475
bone marrow neoplasm,4.825279704,0.499587345,0,0.000564023
skin neoplasm,4.823840841,0.499587345,0,0.000523153
bone marrow disease,4.823067686,0.499587345,0,0.00055141
leukemia,4.81755428,0.499587345,0,0.000554826
hepatobiliary disease,4.814219965,0.499793587,0,0.000549266
nervous system neoplasm,4.627101376,0.499518636,0,0.000497286
gonadal disease,4.623134663,0.499449945,0,0.000495734
endocrine pancreas disease,4.610550914,0.499449945,0,0.000544356
Central Nervous System Neoplasm,4.608176449,0.499449945,0,0.000501406
integumentary system cancer,4.600012764,0.499518636,0,0.000494068
skin cancer,4.514292782,0.499449945,0,0.000472845
Rare genetic endocrine disease,4.513690086,0.499449945,0,0.000657989
skin carcinoma,4.508943958,0.499449945,0,0.000479161
epithelial skin neoplasm,4.507684435,0.499449945,0,0.00047104
connective tissue neoplasm,4.50247099,0.499656074,0,0.000533451
central nervous system cancer,4.47382652,0.499381273,0,0.000483777
female reproductive system neoplasm,4.446700581,0.49931262,0,0.000469307
developmental disorder of mental health,4.387375428,0.499724821,0,0.000527623
digestive system cancer,4.387323136,0.499724821,0,0.000470334
heart disease,4.36916711,0.499587345,0,0.000536462
nervous system cancer,4.339912476,0.499243986,0,0.000476166
Digestive System Carcinoma,4.247899856,0.499587345,0,0.000473733
female reproductive organ cancer,4.200055393,0.499243986,0,0.000455105
intestinal disease,4.108788426,0.499656074,0,0.000454289
infectious disease,4.092926543,0.499793587,0,0.000453791
non-small cell lung carcinoma,4.067366411,0.499449945,0.00027533,0.000448175
urinary system neoplasm,4.047268983,0.499381273,0,0.000447242
neurodegenerative disease,4.029651517,0.499656074,0,0.000478339
peripheral nervous system disease,3.980406834,0.499449945,0,0.000481722
male reproductive system disease,3.949984176,0.499656074,0,0.000449643
brain neoplasm,3.941438328,0.499449945,0,0.000434336
ovarian disease,3.915938813,0.49931262,0,0.000431271
neuroepithelial neoplasm,3.868681993,0.499381273,0,0.000413052
vascular disease,3.85915452,0.5,0,0.000472133
diabetes mellitus,3.840713413,0.499518636,0.00027533,0.000465683
ovarian carcinoma,3.837601181,0.499381273,0,0.000410643
glucose metabolism disease,3.834314139,0.499381273,0,0.000463071
mouth disease,3.831285932,0.499175371,0,0.000419039
ovarian neoplasm,3.80762339,0.499175371,0,0.000420714
ENSG00000117151,3.806871475,0.336873348,0,0.000662476
complete blood cell count,3.775663593,0.500206583,0,0.00045459
malignant endocrine neoplasm,3.744182223,0.499381273,0,0.000421386
ovarian epithelial tumor,3.712480799,0.499175371,0,0.00039224
Malignant epithelial tumor of ovary,3.709752759,0.499175371,0,0.00039137
ovarian cancer,3.709719142,0.499175371,0,0.000391178
nutritional disorder,3.693183332,0.499243986,0,0.000444339
bone neoplasm,3.691973821,0.499656074,0,0.00044018
neuropathy,3.672565521,0.499381273,0,0.000455734
peripheral neuropathy,3.672564233,0.499381273,0,0.000455734
lung adenocarcinoma,3.659205412,0.499106775,0,0.000380399
Genetic peripheral neuropathy,3.633883615,0.49931262,0,0.00047224
glioma,3.627702834,0.499381273,0,0.000404371
genetic skin disease,3.614976291,0.499724821,0,0.000430506
glioblastoma multiforme,3.575068501,0.49931262,0,0.000389259
Genetic neurodegenerative disease,3.56474862,0.49931262,0,0.000431535
astrocytoma,3.538684498,0.499381273,0,0.000380583
high grade malignant neoplasm,3.506947811,0.499381273,0,0.000385125
muscular disease,3.502722714,0.499518636,0,0.000422058
protein measurement,3.500425091,0.500206583,0.000548955,0.000465089
arterial disorder,3.489011614,0.499724821,0,0.000412777
monogenic disease,3.485951515,0.499381273,0,0.000426696
Acute Leukemia,3.469119894,0.499449945,0,0.00042424
immune system cancer,3.461008441,0.499518636,0,0.000429699
colorectal cancer,3.436779952,0.499656074,0.00027533,0.000396268
non-melanoma skin carcinoma,3.435448791,0.49931262,0,0.00036762
high grade astrocytic tumor,3.430906009,0.499175371,0,0.00036587
malignant glioma,3.429923277,0.499175371,0,0.000360267
myeloid neoplasm,3.426692668,0.499381273,0,0.000424144
congenital nervous system disorder,3.417927023,0.499587345,0,0.000413088
musculoskeletal system cancer,3.411794111,0.499449945,0,0.000424799
liver disease,3.409389032,0.499793587,3.79E-08,0.000396652
connective tissue cancer,3.402918582,0.499449945,0,0.00042366
intestinal neoplasm,3.400429833,0.499518636,0,0.000369212
Rare genetic skin disease,3.397402608,0.499656074,0,0.00040292
autosomal genetic disease,3.390912246,0.499381273,0,0.000415977
large intestine disease,3.372599937,0.499518636,0,0.000381837
bone marrow cancer,3.370769117,0.499381273,0,0.000416215
bone cancer,3.370103098,0.499381273,0,0.000407326
myeloid hemopathy,3.369405674,0.499381273,0,0.000419662
chronic myeloproliferative disorder,3.364919162,0.499381273,0,0.000413083
muscle tissue disease,3.357213492,0.499381273,0,0.000414175
myeloid leukemia,3.352678543,0.499381273,0,0.000405247
acute myeloid leukemia,3.348943662,0.499381273,0,0.000411155
male reproductive system neoplasm,3.343212686,0.499449945,0,0.000366629
intestinal cancer,3.340200526,0.499449945,0,0.000362129
syndromic intellectual disability,3.325697153,0.499518636,0,0.00041595
ENSG00000226690,3.325584778,0.335938584,0,0.000466963
Rare genetic renal disease,3.323298197,0.499724821,0,0.000414097
colorectal neoplasm,3.321110035,0.499449945,0,0.000372242
squamous cell carcinoma,3.319133941,0.499518636,0.00027533,0.000370227
Disorder of lipid metabolism,3.305393025,0.499175371,0,0.000439243
prostate disease,3.304236843,0.499381273,0,0.000366268
mood disorder,3.290382298,0.499106775,0,0.000382166
head and neck neoplasia,3.288948201,0.499381273,0,0.000329184
prostate carcinoma,3.273170618,0.499449945,0,0.000384073
leukocyte count,3.244499906,0.499862373,0,0.000407688
male reproductive organ cancer,3.243013176,0.499381273,0,0.000353083
prostate neoplasm,3.238285365,0.49931262,0,0.000365275
Rare genetic intellectual disability,3.2365607,0.499518636,0,0.000393429
prostate cancer,3.230390741,0.49931262,0,0.000364279
autosomal recessive disease,3.223053053,0.49931262,0,0.000387134
neuromuscular disease,3.221474246,0.499175371,0,0.000391796
multiple congenital anomalies/dysmorphic syndrome,3.198575521,0.499518636,0,0.000397355
stomach disease,3.19661931,0.499243986,0,0.000349752
Genetic multiple congenital anomalies/dysmorphic syndrome,3.196517581,0.499518636,0,0.00038562
hypersensitivity reaction disease,3.184561261,0.499862373,0,0.000380615
stomach neoplasm,3.176879865,0.499175371,0,0.000341995
colorectal carcinoma,3.138122336,0.499243986,0,0.00034226
squamous cell neoplasm,3.071975957,0.499175371,0,0.000338601
depressive disorder,3.071294665,0.499038197,0,0.000362607
head and neck malignant neoplasia,3.05439339,0.499106775,0,0.000318265
unipolar depression,3.053130059,0.498969639,0,0.000352202
type II hypersensitivity reaction disease,3.025772445,0.499724821,0,0.000367748
Genetic neuromuscular disease,3.008071231,0.499106775,0,0.000376331
Genetic overgrowth/obesity syndrome,3.002720823,0.499038197,0,0.000359512
Rare genetic intellectual disability with developmental anomaly,3.000661879,0.499518636,0,0.000368661
head and neck carcinoma,2.980330233,0.498969639,0,0.000298214
kidney neoplasm,2.967035984,0.49931262,0,0.000334856
gastric carcinoma,2.94790439,0.499038197,0,0.000318019
gastric cancer,2.935775605,0.498901099,0,0.000310241
movement disorder,2.895386605,0.499106775,0,0.000347155
body height,2.886066868,0.499862373,0,0.000360506
overnutrition,2.883419929,0.499175371,0,0.00036069
obesity,2.882051078,0.499175371,0,0.000352885
Rare genetic movement disorder,2.867924216,0.499038197,0,0.000347607
Rare genetic tremor disorder,2.867358955,0.499038197,0,0.000344383
lymphoid hemopathy,2.86652287,0.499175371,0,0.000321785
lymphoma,2.853940079,0.499175371,0,0.00032248
autoimmune disease,2.850110181,0.499793587,0.000544766,0.000335219
ENSG00000131116,2.835014316,0.336094017,0,0.000463317
retinopathy,2.802178305,0.49931262,0,0.000334762
body mass index,2.795874728,0.499518636,0,0.000345159
myopathy,2.760446038,0.499106775,0,0.000342609
lens disease,2.754725435,0.499175371,0,0.000342507
cataract,2.750998804,0.499175371,0,0.000336346
Multiple congenital anomalies/dysmorphic syndrome-intellectual disability,2.721249603,0.499449945,0,0.000341521
Malignant Urinary System Neoplasm,2.715847037,0.499243986,0,0.000314482
Hepatobiliary Neoplasm,2.708709295,0.49931262,0,0.000322178
reticulocyte count,2.70624995,0.499175371,0,0.000343917
autosomal dominant disease,2.706035159,0.499106775,0,0.000330561
Genetic obesity,2.689938679,0.498969639,0,0.000318143
hypertension,2.668888131,0.499381273,0,0.000323109
thyroid disease,2.666841219,0.499381273,0,0.000295103
Metabolic disease associated with ocular features,2.665242694,0.499175371,0,0.00034372
liver neoplasm,2.663397635,0.49931262,0,0.00030535
X-linked disease,2.654707361,0.499038197,0,0.00032055
sex-linked disease,2.654029358,0.499038197,0,0.000316684
endometrioid carcinoma,2.629637114,0.498901099,0,0.000289245
ENSG00000197978,2.62250298,0.336904596,0.000274496,0.000379203
cognitive disorder,2.611218285,0.499381273,0,0.000320457
uterine neoplasm,2.588417043,0.499175371,0,0.000284889
pulmonary function measurement,2.585118858,0.499381273,0,0.00031216
kidney cancer,2.584154276,0.499243986,0,0.000289737
renal cell adenocarcinoma,2.582031216,0.499175371,0,0.000302475
renal carcinoma,2.581595187,0.499243986,0,0.000296699
renal cell carcinoma,2.581004585,0.499175371,0,0.000296621
Primary immunodeficiency,2.570586653,0.499175371,0,0.000319022
primary immunodeficiency disease,2.568960342,0.499175371,0,0.000311268
Rare genetic immune disease,2.568864615,0.499175371,0,0.000309203
prostate adenocarcinoma,2.566028507,0.499243986,0,0.000289545
uterine disease,2.556775418,0.499106775,0.043008632,0.00028033
Syndromic obesity,2.529145006,0.498969639,0,0.000303853
tumor of uterus,2.521375273,0.499038197,0,0.000275746
epilepsy,2.504263663,0.49931262,0,0.000310326
neuroendocrine neoplasm,2.502936328,0.499381273,0,0.00028786
lymphoid system disease,2.493501776,0.499449945,0,0.000302597
lymphatic system disease,2.491286033,0.499449945,0,0.000289963
Rare genetic bone disease,2.488130793,0.499243986,0,0.000313706
Nephropathy secondary to a storage or other metabolic disease,2.484247707,0.499175371,0,0.000342223
Developmental anomaly of metabolic origin,2.473143318,0.499381273,0,0.000312813
esophageal disease,2.472145227,0.499106775,0,0.000289575
upper digestive tract disease,2.470133481,0.499106775,0,0.000278104
esophageal carcinoma,2.457648755,0.499106775,0,0.000292455
Rare genetic bone development disorder,2.436409328,0.499243986,0,0.000308792
bone development disease,2.436084267,0.499243986,0,0.000305685
respiratory disease biomarker,2.416121417,0.499243986,0,0.00029145
ovarian adenocarcinoma,2.41529359,0.498832578,0,0.000250608
sign or symptom,2.414263626,0.499381273,0,0.000306035
Genetic skeletal muscle disease,2.388615851,0.499106775,0,0.000305238
clear cell renal carcinoma,2.371398938,0.498901099,0,0.000276543
Rare otorhinolaryngological malformation,2.369001488,0.499175371,0,0.000314144
Syndrome or malformation associated with head and neck malformations,2.364070336,0.499175371,0,0.000286026
genetic otorhinolaryngologic disease,2.36364169,0.499175371,0,0.000283582
rare head and neck malformation,2.362896244,0.499175371,0,0.000279332
Genetic head and neck malformation,2.362387936,0.499175371,0,0.000276433
Rare genetic hematologic disease,2.354807804,0.49931262,0,0.000303625
coronary heart disease,2.346616611,0.499038197,0,0.000287089
specific developmental disorder,2.34536309,0.498695592,0,0.000268448
Genetic developmental defect of the eye,2.334941607,0.499175371,0,0.000292538
abnormality of the nervous system,2.326673102,0.49931262,0,0.000300007
schizophrenia,2.31582214,0.498969639,0,0.000281174
psychosis,2.314588354,0.498969639,0,0.000274139
clear cell adenocarcinoma,2.299911672,0.498832578,0,0.000263354
metabolic disease with epilepsy,2.294932791,0.498901099,0,0.00029586
Primary immunodeficiency due to a defect in adaptive immunity,2.29385616,0.499038197,0,0.000490082
melanocytic neoplasm,2.282887228,0.499381273,0,0.00026192
neurovascular disease,2.272951696,0.49931262,0,0.000275952
Genetic neurodegenerative disease with dementia,2.265563212,0.498832578,0,0.000275336
Genetic dementia,2.264941507,0.498832578,0,0.000271479
neurodegenerative disease with dementia,2.264885507,0.498832578,0,0.000271471
nonpapillary renal cell carcinoma,2.264152726,0.498764076,0,0.000259886
anemia (disease),2.259648052,0.49931262,0,0.000297747
melanoma,2.249902351,0.49931262,0,0.000268427
palsy,2.240412379,0.498764076,0,0.000288099
bone measurement,2.237387284,0.499518636,0,0.000313979
tooth disease,2.233923898,0.498832578,0,0.000273392
Abnormality of nervous system physiology,2.209789431,0.499175371,0,0.000271084
Chromosomal anomaly,2.193957043,0.498969639,0,0.000265937
immunodeficiency disease,2.190375009,0.498969639,0.001512024,0.000264326
Rare constitutional anemia,2.190024496,0.499106775,0,0.000292509
Genetic neuro-ophthalmological disease,2.188300734,0.498969639,0,0.00027237
leukocyte disease,2.173980009,0.499243986,0,0.000257776
blood protein measurement,2.14667359,0.499724821,3.79E-08,0.000310513
inflammatory skin disease,2.145169372,0.498901099,0,0.000259939
viral disease,2.13433613,0.499587345,0,0.000246194
Abnormality of skeletal morphology,2.093058073,0.498764076,0,0.000248138
abnormality of the skeletal system,2.092601978,0.498764076,0,0.000245537
Genetic central nervous system malformation,2.08744264,0.499038197,0,0.000264004
abnormality of higher mental function,2.087364448,0.498832578,0,0.00025625
Endometrial Endometrioid Adenocarcinoma,2.066819543,0.498764076,0,0.000226711
infertility,2.061476064,0.499038197,0,0.0002522
bipolar disorder,2.053961469,0.498627128,0,0.000251083
cognitive impairment,2.046009929,0.498695592,0,0.000258189
pregnancy or perinatal disease,2.041086963,0.499038197,0,0.000245251
disease of central nervous system or retinal vasculature,2.039911376,0.49931262,0,0.000249425
neuroendocrine carcinoma,2.031082443,0.499106775,0,0.000234676
thyroid neoplasm,2.028006226,0.499038197,0,0.000226681
thyroid carcinoma,2.024406226,0.499038197,0,0.000226216
drug use measurement,2.023918869,0.499449945,0,0.000233824
thyroid cancer,2.022355588,0.499038197,0,0.000214523
Rare genetic epilepsy,2.021008039,0.499106775,0,0.00045628
bone fracture related measurement,2.013149299,0.49931262,0,0.000263198
basal ganglia disease,2.012608968,0.498832578,0,0.000252877
parkinsonian disorder,2.010685407,0.498832578,0,0.000242783
colorectal adenocarcinoma,2.008838257,0.499175371,0.000550623,0.000262978
colonic disease,2.007817935,0.49931262,0,0.000238651
Sleep Disorder,2.003873508,0.498627128,0,0.000245351
pervasive developmental disorder,2.002756649,0.498969639,0,0.000254275
complex neurodevelopmental disorder,2.001837754,0.498969639,0,0.000249035
eating disorder,2.001434505,0.498558682,0,0.000242676
ENSG00000186599,1.998470563,0.337217399,4.17E-07,0.000295795
biliary tract disease,1.993711751,0.499106775,0.000274155,0.000224672
Primary bone dysplasia,1.989341827,0.498969639,0,0.000264399
Genetic vitreous-retinal disease,1.989210106,0.499038197,0,0.00028306
Genetic lens and zonula anomaly,1.987356896,0.499106775,0,0.000256013
behavior,1.98569684,0.499106775,0,0.000243969
vitreous body disease,1.985542275,0.499038197,0,0.000262146
eye degenerative disease,1.982763008,0.498969639,0,0.000252281
Rare cataract,1.982221721,0.499038197,0,0.000287088
Rare genetic systemic or rheumatologic disease,1.980066348,0.499381273,0,0.000252935
serous neoplasm,1.976827559,0.498832578,0,0.000218625
Rare dyslipidemia,1.974601566,0.499038197,0,0.000284456
ovarian serous adenocarcinoma,1.961066818,0.498764076,0,0.000220153
malignant ovarian serous tumor,1.960427559,0.498764076,0,0.000216508
serous adenocarcinoma,1.960382974,0.498764076,0,0.000216253
ovarian serous tumor,1.95901618,0.498764076,0,0.00020846
Genetic infertility,1.956380815,0.498969639,0,0.000236552
"injury, poisoning or other complication",1.953868061,0.499587345,0.000274838,0.000234316
bladder disease,1.943617736,0.499106775,0,0.000234187
autoimmune disease of the nervous system,1.943110447,0.498969639,0,0.000232787
liver and intrahepatic bile duct neoplasm,1.936366218,0.499106775,0,0.000230687
liver cancer,1.935937571,0.499106775,0,0.000228243
rare epithelial tumor of liver and intrahepatic biliary tract,1.93469294,0.499106775,0,0.000223931
carcinoma of liver and intrahepatic biliary tract,1.934575161,0.499106775,0,0.000223259
dystonic disorder,1.929330199,0.498695592,0,0.000253183
Rare genetic dystonia,1.92640975,0.498695592,0,0.000237214
Inherited cancer-predisposing syndrome,1.920225028,0.499449945,0,0.000248887
neoplastic syndrome,1.918466423,0.499449945,0,0.000238859
skin appendage disease,1.91424611,0.499038197,0,0.000225982
cerebellar disease,1.911743826,0.499038197,0,0.000223112
rare odontologic disease,1.907500332,0.498764076,0,0.000237924
Metabolic disease with corneal opacity,1.877281766,0.498832578,0,0.000291375
Huntington disease and related disorders,1.875084907,0.498558682,0,0.000222658
retinal degeneration,1.873657416,0.499106775,0,0.000238855
melanocytic skin neoplasm,1.853710965,0.498901099,0,0.000234344
coronary artery disease,1.852904904,0.498969639,0,0.000230722
Rare pervasive developmental disorder,1.849591269,0.498832578,0,0.000219815
Abnormality of the cardiovascular system,1.845275756,0.499449945,0,0.000241568
central nervous system malformation,1.838533196,0.498969639,0,0.000241887
teratozoospermia,1.835604333,0.499038197,0,0.000236732
disease of pilosebaceous unit,1.830122882,0.499038197,0,0.000230792
Genetic syndrome with a central nervous system malformation as major feature,1.826759263,0.498969639,0,0.000231177
tic disorder,1.821690514,0.498558682,0,0.000217842
Tourette syndrome,1.821054235,0.498558682,0,0.000214214
gastric adenocarcinoma,1.813116052,0.498764076,0,0.000205139
non-Hodgkins lymphoma,1.811147186,0.499106775,0,0.000215587
cardiovascular measurement,1.809771811,0.499518636,0,0.000202879
bone density,1.808567203,0.49931262,0,0.000244365
Rare genetic diabetes mellitus,1.803624768,0.498969639,0,0.000225245
Rare hereditary metabolic disease with peripheral neuropathy,1.801524179,0.499175371,0,0.000228463
Rare hereditary disease with peripheral neuropathy,1.801501808,0.499175371,0,0.000228239
cranial nerve neuropathy,1.799453769,0.498832578,0,0.000220133
cerebrovascular disorder,1.794696578,0.499106775,0,0.00022287
male infertility,1.794126797,0.499038197,0,0.000235192
ENSG00000269179,1.793884424,0.338885001,0.000275217,0.000363802
Disorder of energy metabolism,1.793820404,0.498969639,0,0.000230556
carbohydrate metabolism disease,1.792826265,0.498969639,0,0.0003471
Retinal dystrophy,1.782570959,0.498969639,0,0.0002288
cutaneous melanoma,1.781786951,0.498695592,0,0.000212551
CNS demyelinating autoimmune disease,1.77896259,0.498901099,0,0.000215256
autoimmune disease of central nervous system,1.778428473,0.498901099,0,0.00021221
Disorder of carbohydrate metabolism,1.772628217,0.498969639,0,0.00023193
heel bone mineral density,1.764554352,0.499175371,0,0.00023587
Syndrome with a symptomatic strabismus,1.762988155,0.498832578,0,0.000253577
Rare strabismus and restriction syndrome,1.762988155,0.498832578,0,0.000253577
Abnormal eye movements,1.762226974,0.498832578,0,0.000249237
abnormality of the immune system,1.761757387,0.499656074,0,0.000214541
cardiovascular disease biomarker measurement,1.739587398,0.499518636,0,0.000211212
demyelinating disease,1.727894196,0.498832578,0,0.000218271
multiple sclerosis,1.724396508,0.498832578,0,0.000211924
Neurometabolic disease,1.724190055,0.499243986,0,0.000221793
colonic neoplasm,1.715911793,0.499038197,0,0.000210452
mineral metabolism disease,1.706031627,0.498901099,0,0.000225252
Rare genetic male infertility,1.702497902,0.498901099,0,0.00021016
Huntington disease-like syndrome,1.702277374,0.498558682,0,0.000217908
Genetic syndromic Pierre Robin syndrome,1.701799796,0.498969639,0,0.000205579
Huntington disease,1.701186818,0.498558682,0,0.000211689
Rare genetic urogenital disease,1.701023769,0.498832578,0,0.00020701
Neurodegenerative disease with chorea,1.700613749,0.498558682,0,0.000208422
Rare male infertility due to hypothalamic-pituitary-gonadal axis disorder of genetic origin,1.700489351,0.498901099,0,0.000214748
rare male infertility due to hypothalamic-pituitary-gonadal axis disorder,1.699562677,0.498901099,0,0.000209464
myeloid white cell count,1.698564133,0.499587345,0,0.000213268
Syndrome associated with Pierre Robin syndrome,1.687978385,0.498901099,0,0.000209509
Rare disease with autism,1.685408658,0.498832578,0,0.00031384
Combined dystonia,1.683248594,0.498627128,0,0.000241678
dermatitis,1.681459879,0.499381273,0,0.000206208
perinatal disease,1.674626465,0.498832578,0,0.000193833
head and neck squamous cell carcinoma,1.671926679,0.498901099,0,0.000184725
Abnormality of connective tissue,1.665750321,0.498764076,0,0.000210786
Genetic multiple congenital anomalies/dysmorphic syndrome - variable intellectual disability,1.664794174,0.498832578,0,0.00020546
genetic multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome,1.664696661,0.498832578,0,0.000204904
rare gynecologic or obstetric disease,1.654496672,0.498969639,0,0.000216335
glaucoma,1.654076475,0.498764076,0,0.000204453
granulocyte count,1.650426788,0.499518636,0,0.000212482
LCAT deficiency,1.647244054,0.498695592,0,0.000235427
Hypoalphalipoproteinemia,1.646936941,0.498695592,0,0.000233675
Rare hypolipidemia,1.645883518,0.498695592,0,0.000227669
Rare genetic gynecological and obstetrical diseases,1.643725706,0.498969639,0,0.000199992
bladder tumor,1.63368853,0.498832578,0,0.000197098
Hernia,1.631634737,0.498695592,0,0.000222493
pancreatic neoplasm,1.631534962,0.498969639,0,0.000186481
hepatocellular carcinoma,1.629487347,0.49931262,0.00027533,0.000201069
motor neuron disease,1.628545406,0.498764076,0,0.000212976
oral cavity carcinoma,1.625006991,0.498764076,0,0.000287492
lip and oral cavity carcinoma,1.625006991,0.498764076,0,0.000287492
cardiac rhythm disease,1.62445999,0.498695592,0,0.000193322
